state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
OR,3/19/2020,380.5116279,344.9924457,416.0308101,0.1136363636,0.1027425876,0.1245301397,,,
PA,3/19/2020,0,0,0,0,0,0,,,
PR,3/19/2020,32.21533923,21.29042013,43.14025833,0.004694835681,0.003051710818,0.006337960543,,,
RI,3/19/2020,124.72,103.7372324,145.7027676,0.05063291139,0.04183222705,0.05943359573,,,
SC,3/19/2020,0,0,0,0,0,0,,,
TN,3/19/2020,3506.387097,3395.942509,3616.831685,0.08846153846,0.08565676888,0.09126630804,,,
TX,3/19/2020,4808.642824,4683.307952,4933.977695,0.0749903363,0.07286419661,0.07711647598,,,
VA,3/19/2020,105.2914286,85.36250301,125.2203541,0.008695652174,0.007034010299,0.01035729405,,,
VT,3/19/2020,0,0,0,0,0,0,,,
WA,3/19/2020,1443.495082,1373.297658,1513.692506,0.08994708995,0.0854674333,0.09442674659,,,
WI,3/19/2020,396.7306502,359.4280409,434.0332594,0.04863221884,0.04386741029,0.0533970274,,,
WV,3/19/2020,0,0,0,0,0,0,,,
WY,3/19/2020,0,0,0,0,0,0,,,
CW,3/19/2020,42966.98881,42577.1538,43356.82381,0.05619958331,0.05567689285,0.05672227377,,,
AL,3/20/2020,208.3372093,180.3142148,236.3602038,0.01408450704,0.01218089281,0.01598812128,,,
AR,3/20/2020,542.1634615,497.9650595,586.3618636,0.04444444444,0.04075314737,0.04813574151,,,
CA,3/20/2020,2618.968966,2520.922684,2717.015247,0.03457106274,0.03326334487,0.03587878061,,,
CT,3/20/2020,341.4850575,307.132304,375.8378109,0.05329153605,0.04764963989,0.05893343221,,,
FL,3/20/2020,3719.462687,3604.376764,3834.548609,0.06703910615,0.06495134123,0.06912687106,,,
GA,3/20/2020,3801.751918,3692.756102,3910.747734,0.1724137931,0.1673847244,0.1774428618,,,
GU,3/20/2020,19.99371069,14.3514082,25.63601318,0.07857142857,0.02927878596,0.1278640712,,,
