name,code,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
Hertfordshire,E10000015,1188457,"73,460","80,865","76,546","63,838","61,717","70,832","77,903","85,144","82,334","84,244","86,032","78,053","63,278","53,191","52,684","37,280","29,826","31,223"
Norfolk,E10000020,911065,"45,698","50,676","48,877","45,861","52,846","51,648","52,790","51,314","47,464","57,005","63,439","62,759","57,631","56,863","61,296","42,650","31,313","30,933"
Suffolk,E10000029,762256,"40,122","44,774","44,122","38,489","37,530","43,195","45,220","43,831","40,732","49,276","54,906","52,845","47,573","46,504","49,257","33,667","24,896","25,309"
Camden,E09000007,267424,"13,996","15,775","14,269","15,309","22,687","29,067","27,281","22,275","18,280","17,122","15,514","12,949","10,729","9,101","8,495","5,851","4,211","4,511"
City of London,E09000001,8709,450,526,398,334,636,742,558,582,465,615,678,626,518,484,419,280,200,195
Hackney,E09000012,282822,"20,091","18,643","16,540","14,063","16,704","30,354","38,123","31,425","21,257","16,795","15,126","12,424","9,566","7,081","5,492","3,680","2,842","2,620"
Hammersmith and Fulham,E09000013,187450,"11,254","11,508","9,949","7,962","15,129","19,182","18,977","16,175","14,244","13,355","11,871","10,001","7,385","6,020","5,448","3,728","2,677","2,584"
Haringey,E09000014,271330,"17,986","17,242","15,947","14,601","16,911","23,402","25,696","25,889","22,241","19,315","18,076","14,863","11,119","8,825","7,201","4,891","3,844","3,281"
Islington,E09000019,242057,"13,061","12,568","10,979","11,608","26,680","33,648","28,937","21,215","15,377","13,683","13,185","11,261","8,411","6,493","5,622","3,865","2,774","2,688"
Kensington and Chelsea,E09000020,156239,"7,974","8,711","7,858","6,902","9,539","11,736","12,450","13,395","12,486","11,236","10,978","9,865","8,055","7,047","6,728","4,783","3,324","3,174"
Lambeth,E09000022,327940,"18,950","18,242","16,761","14,319","23,409","43,672","42,994","31,241","22,492","19,936","19,349","17,023","11,979","8,625","6,644","4,880","3,772","3,653"
Lewisham,E09000023,306171,"21,403","20,358","17,803","14,669","18,982","27,291","31,262","29,980","24,799","21,351","19,654","17,213","12,424","8,717","7,065","5,143","4,110","3,944"
Newham,E09000025,355772,"27,436","25,583","21,741","20,304","27,105","37,378","40,961","34,170","24,485","21,323","19,359","16,174","12,571","9,224","6,529","4,738","3,604","3,090"
Southwark,E09000028,321000,"20,286","19,918","16,858","15,444","23,562","36,892","38,065","29,491","23,048","20,219","19,697","17,593","12,768","8,580","6,840","4,811","3,535","3,391"
Tower Hamlets,E09000030,325268,"22,211","21,675","18,626","17,543","28,077","40,856","43,582","33,445","24,184","18,403","14,802","11,770","9,306","7,132","4,961","3,479","2,670","2,547"
Wandsworth,E09000032,329510,"21,700","19,783","15,550","12,856","21,476","40,205","41,745","34,702","24,898","20,585","18,047","14,964","11,393","9,288","8,156","5,710","4,423","4,029"
Westminster,E09000033,260017,"13,638","15,062","12,812","12,908","17,582","24,596","26,575","24,826","20,259","17,636","16,595","13,790","11,297","9,710","8,132","5,647","4,520","4,432"
Barking and Dagenham,E09000002,213423,"19,134","19,127","17,014","13,136","13,105","16,174","18,169","17,137","15,386","14,282","12,514","10,451","7,971","5,905","4,786","3,374","2,765","2,993"
Barnet,E09000003,395979,"26,199","27,889","25,916","21,008","21,421","28,580","31,953","31,955","29,156","27,620","25,963","22,396","18,687","15,669","14,471","10,250","7,907","8,942"
Bexley,E09000004,248428,"15,737","16,593","16,040","13,689","13,668","16,937","17,500","17,865","16,164","16,567","17,594","16,210","12,843","10,332","10,300","7,545","6,340","6,502"
Brent,E09000005,333312,"23,970","22,888","20,029","18,898","22,693","26,071","28,969","27,381","23,126","21,424","20,767","19,473","16,386","12,630","9,878","7,368","5,827","5,534"
Bromley,E09000006,332838,"21,303","22,409","20,839","16,548","14,575","18,805","22,265","25,380","24,937","24,217","24,606","21,732","17,078","14,666","15,408","10,697","8,495","8,881"
Croydon,E09000008,386493,"27,409","27,236","25,928","21,692","19,383","25,362","29,769","29,777","27,690","25,902","27,450","25,752","19,830","15,560","13,382","9,460","7,590","7,318"
Ealing,E09000009,341461,"23,747","24,614","21,624","18,383","19,038","24,622","27,423","27,872","25,813","24,473","22,920","19,618","16,377","13,696","10,878","7,878","6,394","6,090"
Enfield,E09000010,334687,"23,860","24,697","23,562","19,376","18,643","24,279","25,691","25,329","22,907","22,712","23,142","20,387","15,424","12,398","10,910","8,535","6,554","6,280"
Greenwich,E09000011,289730,"21,727","20,603","18,169","15,151","18,116","24,172","27,334","26,389","23,176","19,490","17,999","15,302","11,770","8,991","8,093","5,380","4,030","3,842"
Harrow,E09000015,250419,"17,370","16,997","15,257","13,313","13,265","17,240","18,939","19,237","17,713","16,304","15,852","15,485","13,515","11,276","9,761","7,155","5,829","5,911"
Havering,E09000016,259922,"17,313","16,773","15,592","13,734","14,513","17,507","18,868","18,371","16,088","16,189","17,547","16,667","13,945","11,901","11,966","8,475","6,945","7,528"
Hillingdon,E09000017,307241,"22,041","22,051","19,527","17,872","20,102","22,670","23,724","24,388","22,139","19,928","19,395","17,669","14,374","11,255","10,424","7,513","6,221","5,948"
Hounslow,E09000018,271962,"19,900","19,949","16,886","13,957","15,236","20,152","23,291","24,229","21,419","18,775","17,215","15,024","12,510","10,384","8,552","5,950","4,553","3,976"
Kingston upon Thames,E09000021,176667,"11,042","11,870","10,912","9,376","11,813","12,592","13,636","14,610","13,579","12,942","11,590","9,876","8,118","6,926","6,438","4,373","3,246","3,727"
Merton,E09000024,206290,"14,518","14,377","12,165","9,482","10,441","15,009","17,875","19,678","16,860","14,413","13,861","11,952","9,328","7,638","6,658","4,671","3,730","3,639"
Redbridge,E09000026,304747,"22,327","21,591","20,332","17,934","17,888","22,832","24,958","25,538","22,740","20,062","18,826","16,934","13,994","11,480","9,538","6,819","5,326","5,629"
