,loss
254,153.74127783802894
255,153.50120187219167
256,153.31535621598965
257,153.0769999509602
258,152.8804450944669
259,152.6216509163035
260,152.4306000285066
261,152.21427961581014
262,152.0687429615528
263,151.83519811023868
264,151.62551809321937
265,151.4355292568317
266,151.2001458316869
267,150.96647498511166
268,150.7450741453667
269,150.5758771951488
270,150.35047070277218
271,150.1523648300612
272,149.96229553222656
273,149.79955247647501
274,149.58471106380395
275,149.38499283101518
276,149.19929583775516
277,148.9895464064758
278,148.7827875214505
279,148.61143793536058
280,148.35745812564917
281,148.19846299893595
282,148.0201896711581
283,147.8390104260748
284,147.6506334426086
285,147.4976770478177
286,147.2873977925736
287,147.1162602419109
288,146.9436391488665
289,146.76175914610053
290,146.59754449921536
291,146.42156294453352
292,146.2895054899888
293,146.09574561587647
294,145.93784239664242
295,145.8036413027372
296,145.6396131129623
297,145.47343788808482
298,145.34281850825843
299,145.17080688476562
300,145.01944348991262
301,144.85741023245575
302,144.6899982959549
303,144.53167362984894
304,144.37477985007226
305,144.1998419348215
306,144.04328450991238
307,143.87083474749085
308,143.7108336873137
309,143.54323661671899
310,143.38537813748928
311,143.21463197917606
312,143.07726371632836
313,142.91206598006232
314,142.7786557412561
315,142.60996277208272
316,142.51644566706838
317,142.33221598718896
318,142.21443793677182
319,142.06564039991082
320,141.92925871038713
321,141.76731532984385
322,141.6347551731705
323,141.48144178445628
324,141.32328126058414
325,141.24173388177948
326,141.03872376370293
327,140.9055350419414
328,140.77684162117842
329,140.62801153811415
330,140.47339652177226
331,140.33816254896925
332,140.19971885019643
333,140.05674677501523
334,139.92460782266076
335,139.8283554694556
336,139.6733553230418
337,139.542108083736
338,139.43372005396495
339,139.29132419652333
340,139.18834902371975
341,139.10016830532538
342,138.92646710169797
343,138.78131500420542
344,138.67719264388774
345,138.53974905730672
346,138.4389079540451
347,138.32355931452932
348,138.20186416537774
349,138.06609410633243
350,137.96187088806505
351,137.8418786815136
352,137.71618008475772
353,137.60872566355445
354,137.51869682356113
355,137.4022833322514
356,137.27079503935886
357,137.16440472024024
358,137.05298169086433
359,136.92897562897963
360,136.8352840181031
361,136.7131447323485
362,136.5954335383597
363,136.4672445837473
364,136.34588221731903
365,136.24305888269677
366,136.13388412122782
367,135.99887830260172
368,135.88648850104713
369,135.78915643416389
370,135.67385343871365
371,135.5490710308097
372,135.4544296705654
373,135.3904921691542
374,135.27570678181732
375,135.13369773026835
376,135.00748104029307
377,134.90166914394135
378,134.79048302270084
379,134.68242878996568
380,134.60541424172462
381,134.45910278496714
382,134.35520569024058
383,134.267817987872
384,134.14408654008986
385,134.05852301272353
386,133.97224911375542
387,133.86179982444455
388,133.74920883619717
389,133.64283121803592
390,133.56059150475298
391,133.45172449894724
392,133.35618062102037
393,133.25940276570404
394,133.1630476582257
395,133.04623201403314
396,132.97068001631368
397,132.8724364352364
398,132.7907058627619
