index,PCA0,PCA2,PCA5,PCA6,PCA7,PCA8,PCA12
0.3,0.19996517895787252,0.027308248293234482,-0.011594483056990379,-0.07046224480497046,0.027930660833447623,-0.027665970185433826,0.005850369887516439
0.35,0.22067436872367474,0.028533506919187462,-0.014475915234495804,-0.08246744223502536,0.031424631738492165,-0.03231563010052629,0.006302572390899352
0.4,0.2373883783594289,0.02883497525477607,-0.017708547152709475,-0.09453088610131329,0.03459222331266959,-0.03697462031566851,0.006602863115802068
0.45,0.25035622723248263,0.0282383795642152,-0.02131511575641286,-0.10664741303390378,0.03743887068222248,-0.041642578489110994,0.006750970305912457
0.5,0.2599162519514368,0.02677506240883708,-0.025315096914641885,-0.11881104439392998,0.03997200185301571,-0.04631877993735473,0.006746531619481014
0.55,0.26645851340963406,0.02448080503640538,-0.02972506776243643,-0.1310163450551493,0.04219850131828987,-0.05100313407496235,0.00659027174000675
0.6,0.270396624714135,0.02139483094130408,-0.03455589855228166,-0.1432590575020051,0.04412923933053014,-0.05569428212037319,0.006283911790799817
0.65,0.27214709770599627,0.01755908118103844,-0.03981773485316372,-0.15553392777912953,0.045773546189786275,-0.06039177114640038,0.005827180015548085
0.7,0.272113581094167,0.013019573157795665,-0.04551574003501308,-0.16783633602921633,0.04714328858835459,-0.0650952388112944,0.005222250464748586
0.75,0.27067916069331194,0.007822414859200337,-0.051652450490076274,-0.18016157180952203,0.04825033321853139,-0.0698042321878684,0.004470572505399345
0.8,0.26819884083250917,0.0020166130068730794,-0.05822614509504315,-0.19250573994623935,0.04910781496873625,-0.07451757366543646,0.003573776675373135
0.85,0.264998094988252,-0.004348463335815979,-0.06523428745766716,-0.20486503585099855,0.04972968399632513,-0.07923490090224908,0.002534399366916495
0.9,0.26137051056307725,-0.011222629836560319,-0.07266999308470772,-0.2172352925936803,0.050129618702341866,-0.08395548921480724,0.0013542522887769535
0.95,0.25757914766712603,-0.01855479630867966,-0.0805251998722383,-0.22961315851310166,0.05032301861114045,-0.08867888567592408,3.6868273012188635e-05
1.0,0.2538555426783324,-0.026292694954807832,-0.08878876581146163,-0.24199496489904887,0.05032310919657783,-0.09340418443122582,-0.001416756240566659
