code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000200,0.94957215,1.2824922,1.2685528,-0.11840465,-0.36588022,3.7342646,1.1404805,2.433489,1.2662987,1.287752,0.9678076,1.043125,1.6479061,1.4486153,1.6601415,0.4467266,0.713985,1.4097159,1.3697659
E07000202,-0.2509487,1.2824922,1.2531737,1.3007123,1.046953,1.73719,0.27986923,1.5233232,-0.523067,1.3946074,1.1299227,0.17065534,1.8119713,1.4527305,2.2193303,0.40500408,0.76850873,1.7900182,1.2976618
E07000203,0.23795071,1.2824922,1.2630875,-0.25891128,-0.48494652,3.419587,1.1727927,2.3858306,0.7246343,1.1709756,0.9472602,1.2869805,1.3047118,1.4534007,1.7672193,0.82073885,0.76208746,1.448895,1.3637718
E07000207,-0.29441515,1.2824922,1.2533741,0.9813661,1.9030209,3.6205938,1.6477726,1.6230948,0.33394173,1.2198322,1.0136632,0.85165834,-0.6641024,1.3196408,1.8133361,1.3091058,0.9633406,1.9156584,1.2913661
E07000208,-0.857333,1.2824922,1.2772336,1.1775666,1.4090128,2.9684105,1.3886657,1.6750574,-0.10957974,1.1443242,0.9759558,0.37904185,-0.49807513,1.3515222,1.9113599,1.4879003,0.76526254,1.8375669,1.3497064
E07000209,-0.7312793,1.2824922,1.2508333,0.52465606,0.47138,1.4546986,0.34585333,1.5117722,-0.5603613,1.1656977,1.0747122,0.79101306,0.9207929,1.4199355,1.8464754,1.178186,0.46021897,1.8655756,1.2797563
E07000210,0.51659256,1.2824922,1.2712375,0.28448284,0.058278784,3.749068,1.5314859,2.1669834,1.3158572,1.3018926,1.1440501,0.94871634,1.0337076,1.4432278,1.8157717,0.7267248,0.74303955,1.8375669,1.3516583
E07000211,0.9691424,1.2824922,1.2508653,0.8802437,1.0537624,2.7805943,1.3717848,1.6538024,0.05507495,1.2094893,1.0726187,0.64231074,0.51370287,1.421732,1.9130753,1.1788278,0.63608444,1.9388797,1.2814585
E07000212,-0.45424604,1.2824922,1.270725,0.8733465,0.20917203,1.4291557,0.44868332,1.4996359,-0.19323668,1.2986933,1.0433536,0.6820355,1.2437377,1.4454997,2.0067258,0.83036304,0.53919655,1.7336848,1.3056538
E07000213,-0.26841474,1.2824922,1.2644376,1.1545001,0.6087561,2.6505482,1.3394282,1.7063628,0.17876656,1.2690674,1.0728275,-0.12668192,0.96152353,1.3916472,1.9701089,1.0413135,1.2131366,1.7535987,1.3047903
