Code,Name,Geography1,Area (sq km),Estimated Population mid-2018,2018 people per sq. km
E08000009,Trafford,Metropolitan District,106,"2,36,370","2,229"
E08000010,Wigan,Metropolitan District,188,"3,26,088","1,733"
E10000017,Lancashire,County,"2,903","12,10,053",417
E07000117,Burnley,Non-metropolitan District,111,"88,527",800
E07000118,Chorley,Non-metropolitan District,203,"1,16,821",576
E07000119,Fylde,Non-metropolitan District,166,"79,770",481
E07000120,Hyndburn,Non-metropolitan District,73,"80,815","1,107"
E07000121,Lancaster,Non-metropolitan District,576,"1,44,246",250
E07000122,Pendle,Non-metropolitan District,169,"91,405",540
E07000123,Preston,Non-metropolitan District,142,"1,41,818",997
E07000124,Ribble Valley,Non-metropolitan District,583,"60,057",103
E07000125,Rossendale,Non-metropolitan District,138,"70,895",514
E07000126,South Ribble,Non-metropolitan District,113,"1,10,527",979
E07000127,West Lancashire,Non-metropolitan District,347,"1,13,949",329
E07000128,Wyre,Non-metropolitan District,282,"1,11,223",394
E11000002,Merseyside (Met County),Metropolitan County,647,"14,23,065","2,200"
E08000011,Knowsley,Metropolitan District,87,"1,49,571","1,729"
E08000012,Liverpool,Metropolitan District,112,"4,94,814","4,424"
E08000014,Sefton,Metropolitan District,155,"2,75,396","1,777"
E08000013,St. Helens,Metropolitan District,136,"1,80,049","1,320"
E08000015,Wirral,Metropolitan District,157,"3,23,235","2,058"
E12000003,YORKSHIRE AND THE HUMBER,Region,"15,405","54,79,615",356
E06000011,East Riding of Yorkshire,Unitary Authority,"2,405","3,39,614",141
E06000010,"Kingston upon Hull, City of",Unitary Authority,71,"2,60,645","3,648"
E06000012,North East Lincolnshire,Unitary Authority,192,"1,59,821",833
E06000013,North Lincolnshire,Unitary Authority,846,"1,72,005",203
E06000014,York,Unitary Authority,272,"2,09,893",772
E10000023,North Yorkshire,County,"8,038","6,14,505",76
E07000163,Craven,Non-metropolitan District,"1,177","56,832",48
E07000164,Hambleton,Non-metropolitan District,"1,311","91,134",70
E07000165,Harrogate,Non-metropolitan District,"1,308","1,60,533",123
E07000166,Richmondshire,Non-metropolitan District,"1,319","53,244",40
E07000167,Ryedale,Non-metropolitan District,"1,507","54,920",36
E07000168,Scarborough,Non-metropolitan District,816,"1,08,736",133
E07000169,Selby,Non-metropolitan District,599,"89,106",149
E11000003,South Yorkshire (Met County),Metropolitan County,"1,552","14,02,918",904
E08000016,Barnsley,Metropolitan District,329,"2,45,199",745
E08000017,Doncaster,Metropolitan District,568,"3,10,542",547
E08000018,Rotherham,Metropolitan District,287,"2,64,671",924
E08000019,Sheffield,Metropolitan District,368,"5,82,506","1,583"
E11000006,West Yorkshire (Met County),Metropolitan County,"2,029","23,20,214","1,143"
E08000032,Bradford,Metropolitan District,366,"5,37,173","1,466"
E08000033,Calderdale,Metropolitan District,364,"2,10,082",577
E08000034,Kirklees,Metropolitan District,409,"4,38,727","1,074"
E08000035,Leeds,Metropolitan District,552,"7,89,194","1,430"
E08000036,Wakefield,Metropolitan District,339,"3,45,038","1,019"
E12000004,EAST MIDLANDS,Region,"15,623","48,04,149",307
E06000015,Derby,Unitary Authority,78,"2,57,174","3,296"
E06000016,Leicester,Unitary Authority,73,"3,55,218","4,843"
E06000018,Nottingham,Unitary Authority,75,"3,31,069","4,437"
E06000017,Rutland,Unitary Authority,382,"39,697",104
E10000007,Derbyshire,County,"2,547","7,96,142",313
E07000032,Amber Valley,Non-metropolitan District,265,"1,26,678",477
E07000033,Bolsover,Non-metropolitan District,160,"79,530",496
E07000034,Chesterfield,Non-metropolitan District,66,"1,04,628","1,584"
E07000035,Derbyshire Dales,Non-metropolitan District,792,"71,977",91
E07000036,Erewash,Non-metropolitan District,110,"1,15,490","1,053"
E07000037,High Peak,Non-metropolitan District,539,"92,221",171
E07000038,North East Derbyshire,Non-metropolitan District,276,"1,01,125",367
E07000039,South Derbyshire,Non-metropolitan District,338,"1,04,493",309
E10000018,Leicestershire,County,"2,083","6,98,268",335
E07000129,Blaby,Non-metropolitan District,130,"1,00,421",770
E07000130,Charnwood,Non-metropolitan District,279,"1,82,643",655
E07000131,Harborough,Non-metropolitan District,592,"92,499",156
E07000132,Hinckley and Bosworth,Non-metropolitan District,297,"1,12,423",378
E07000133,Melton,Non-metropolitan District,481,"51,100",106
E07000134,North West Leicestershire,Non-metropolitan District,279,"1,02,126",366
E07000135,Oadby and Wigston,Non-metropolitan District,24,"57,056","2,425"
E10000019,Lincolnshire,County,"5,937","7,55,833",127
E07000136,Boston,Non-metropolitan District,365,"69,366",190
E07000137,East Lindsey,Non-metropolitan District,"1,765","1,40,741",80
E07000138,Lincoln,Non-metropolitan District,36,"99,039","2,775"
E07000139,North Kesteven,Non-metropolitan District,922,"1,15,985",126
E07000140,South Holland,Non-metropolitan District,751,"93,980",125
E07000141,South Kesteven,Non-metropolitan District,943,"1,41,853",150
E07000142,West Lindsey,Non-metropolitan District,"1,156","94,869",82
E10000021,Northamptonshire,County,"2,364","7,47,622",316
E07000150,Corby,Non-metropolitan District,80,"70,827",882
E07000151,Daventry,Non-metropolitan District,663,"84,484",128
E07000152,East Northamptonshire,Non-metropolitan District,510,"93,906",184
E07000153,Kettering,Non-metropolitan District,233,"1,01,266",434
E07000154,Northampton,Non-metropolitan District,81,"2,25,146","2,787"
E07000155,South Northamptonshire,Non-metropolitan District,634,"92,515",146
E07000156,Wellingborough,Non-metropolitan District,163,"79,478",487
E10000024,Nottinghamshire,County,"2,085","8,23,126",395
E07000170,Ashfield,Non-metropolitan District,110,"1,27,151","1,161"
E07000171,Bassetlaw,Non-metropolitan District,638,"1,16,839",183
E07000172,Broxtowe,Non-metropolitan District,80,"1,13,272","1,414"
E07000173,Gedling,Non-metropolitan District,120,"1,17,786",982
E07000174,Mansfield,Non-metropolitan District,77,"1,08,841","1,419"
E07000175,Newark and Sherwood,Non-metropolitan District,651,"1,21,566",187
E07000176,Rushcliffe,Non-metropolitan District,409,"1,17,671",288
E12000005,WEST MIDLANDS,Region,"12,998","59,00,757",454
E06000019,"Herefordshire, County of",Unitary Authority,"2,180","1,92,107",88
E06000051,Shropshire,Unitary Authority,"3,197","3,20,274",100
E06000021,Stoke-on-Trent,Unitary Authority,93,"2,55,833","2,738"
E06000020,Telford and Wrekin,Unitary Authority,290,"1,77,799",612
E10000028,Staffordshire,County,"2,620","8,75,219",334
E07000192,Cannock Chase,Non-metropolitan District,79,"1,00,109","1,269"
E07000193,East Staffordshire,Non-metropolitan District,387,"1,18,574",306
E07000194,Lichfield,Non-metropolitan District,331,"1,03,965",314
E07000195,Newcastle-under-Lyme,Non-metropolitan District,211,"1,29,490",614
E07000196,South Staffordshire,Non-metropolitan District,407,"1,12,126",275
E07000197,Stafford,Non-metropolitan District,598,"1,35,880",227
E07000198,Staffordshire Moorlands,Non-metropolitan District,576,"98,397",171
E07000199,Tamworth,Non-metropolitan District,31,"76,678","2,485"
E10000031,Warwickshire,County,"1,975","5,71,010",289
E07000218,North Warwickshire,Non-metropolitan District,284,"64,850",228
E07000219,Nuneaton and Bedworth,Non-metropolitan District,79,"1,28,902","1,633"
E07000220,Rugby,Non-metropolitan District,351,"1,07,194",305
E07000221,Stratford-on-Avon,Non-metropolitan District,978,"1,27,580",130
E07000222,Warwick,Non-metropolitan District,283,"1,42,484",504
E11000005,West Midlands (Met County),Metropolitan County,902,"29,16,458","3,235"
E08000025,Birmingham,Metropolitan District,268,"11,41,374","4,262"
E08000026,Coventry,Metropolitan District,99,"3,66,785","3,718"
E08000027,Dudley,Metropolitan District,98,"3,20,626","3,273"
E08000028,Sandwell,Metropolitan District,86,"3,27,378","3,826"
E08000029,Solihull,Metropolitan District,178,"2,14,909","1,205"
E08000030,Walsall,Metropolitan District,104,"2,83,378","2,725"
E08000031,Wolverhampton,Metropolitan District,69,"2,62,008","3,773"
E10000034,Worcestershire,County,"1,741","5,92,057",340
E07000234,Bromsgrove,Non-metropolitan District,217,"98,662",455
E07000235,Malvern Hills,Non-metropolitan District,577,"78,113",135
E07000236,Redditch,Non-metropolitan District,54,"84,989","1,567"
E07000237,Worcester,Non-metropolitan District,33,"1,01,891","3,062"
E07000238,Wychavon,Non-metropolitan District,664,"1,27,340",192
E07000239,Wyre Forest,Non-metropolitan District,195,"1,01,062",517
E12000006,EAST,Region,"19,119","62,01,214",324
E06000055,Bedford,Unitary Authority,476,"1,71,623",360
E06000056,Central Bedfordshire,Unitary Authority,716,"2,83,606",396
E06000032,Luton,Unitary Authority,43,"2,14,109","4,939"
E06000031,Peterborough,Unitary Authority,343,"2,01,041",585
E06000033,Southend-on-Sea,Unitary Authority,42,"1,82,463","4,370"
E06000034,Thurrock,Unitary Authority,163,"1,72,525","1,055"
E10000003,Cambridgeshire,County,"3,046","6,51,482",214
E07000008,Cambridge,Non-metropolitan District,41,"1,25,758","3,090"
E07000009,East Cambridgeshire,Non-metropolitan District,651,"89,362",137
E07000010,Fenland,Non-metropolitan District,546,"1,01,491",186
E07000011,Huntingdonshire,Non-metropolitan District,906,"1,77,352",196
E07000012,South Cambridgeshire,Non-metropolitan District,902,"1,57,519",175
E10000012,Essex,County,"3,464","14,77,764",427
E07000066,Basildon,Non-metropolitan District,110,"1,85,862","1,689"
E07000067,Braintree,Non-metropolitan District,612,"1,51,561",248
E07000068,Brentwood,Non-metropolitan District,153,"76,550",500
E07000069,Castle Point,Non-metropolitan District,45,"90,070","1,998"
E07000070,Chelmsford,Non-metropolitan District,339,"1,77,079",523
E07000071,Colchester,Non-metropolitan District,329,"1,92,523",585
E07000072,Epping Forest,Non-metropolitan District,339,"1,31,137",387
E07000073,Harlow,Non-metropolitan District,31,"86,594","2,836"
E07000074,Maldon,Non-metropolitan District,359,"64,425",180
E07000075,Rochford,Non-metropolitan District,169,"86,981",513
E07000076,Tendring,Non-metropolitan District,338,"1,45,803",432
E07000077,Uttlesford,Non-metropolitan District,641,"89,179",139
E10000015,Hertfordshire,County,"1,643","11,84,365",721
E07000095,Broxbourne,Non-metropolitan District,51,"96,876","1,883"
E07000096,Dacorum,Non-metropolitan District,212,"1,54,280",726
E07000242,East Hertfordshire,Non-metropolitan District,476,"1,48,105",311
E07000098,Hertsmere,Non-metropolitan District,101,"1,04,205","1,030"
E07000099,North Hertfordshire,Non-metropolitan District,375,"1,33,214",355
E07000240,St Albans,Non-metropolitan District,161,"1,47,373",914
E07000243,Stevenage,Non-metropolitan District,26,"87,754","3,379"
E07000102,Three Rivers,Non-metropolitan District,89,"93,045","1,048"
E07000103,Watford,Non-metropolitan District,21,"96,767","4,515"
E07000241,Welwyn Hatfield,Non-metropolitan District,130,"1,22,746",948
E10000020,Norfolk,County,"5,380","9,03,680",168
E07000143,Breckland,Non-metropolitan District,"1,305","1,39,329",107
E07000144,Broadland,Non-metropolitan District,552,"1,29,464",234
E07000145,Great Yarmouth,Non-metropolitan District,174,"99,370",570
E07000146,King's Lynn and West Norfolk,Non-metropolitan District,"1,439","1,51,811",106
E07000147,North Norfolk,Non-metropolitan District,962,"1,04,552",109
E07000148,Norwich,Non-metropolitan District,39,"1,41,137","3,617"
E07000149,South Norfolk,Non-metropolitan District,908,"1,38,017",152
E10000029,Suffolk,County,"3,801","7,58,556",200
E07000200,Babergh,Non-metropolitan District,594,"91,401",154
E07000244,East Suffolk,Non-metropolitan District,"1,262","2,48,249",197
E07000202,Ipswich,Non-metropolitan District,40,"1,37,532","3,480"
E07000203,Mid Suffolk,Non-metropolitan District,871,"1,02,493",118
E07000245,West Suffolk,Non-metropolitan District,"1,035","1,78,881",173
E12000007,LONDON,Region,"1,572","89,08,081","5,666"
E09000007,Camden,London Borough,22,"2,62,226","12,035"
E09000001,City of London,London Borough,3,"8,706","2,998"
E09000012,Hackney,London Borough,19,"2,79,665","14,681"
E09000013,Hammersmith and Fulham,London Borough,16,"1,85,426","11,308"
E09000014,Haringey,London Borough,30,"2,70,624","9,143"
E09000019,Islington,London Borough,15,"2,39,142","16,097"
E09000020,Kensington and Chelsea,London Borough,12,"1,56,197","12,884"
E09000022,Lambeth,London Borough,27,"3,25,917","12,156"
E09000023,Lewisham,London Borough,35,"3,03,536","8,636"
E09000025,Newham,London Borough,36,"3,52,005","9,723"
E09000028,Southwark,London Borough,29,"3,17,256","10,992"
E09000030,Tower Hamlets,London Borough,20,"3,17,705","16,057"
E09000032,Wandsworth,London Borough,34,"3,26,474","9,528"
E09000033,Westminster,London Borough,21,"2,55,324","11,883"
E09000002,Barking and Dagenham,London Borough,36,"2,11,998","5,871"
E09000003,Barnet,London Borough,87,"3,92,140","4,520"
E09000004,Bexley,London Borough,61,"2,47,258","4,082"
E09000005,Brent,London Borough,43,"3,30,795","7,652"
E09000006,Bromley,London Borough,150,"3,31,096","2,205"
E09000008,Croydon,London Borough,86,"3,85,346","4,455"
E09000009,Ealing,London Borough,56,"3,41,982","6,157"
E09000010,Enfield,London Borough,81,"3,33,869","4,130"
E09000011,Greenwich,London Borough,47,"2,86,186","6,046"
E09000015,Harrow,London Borough,50,"2,50,149","4,957"
E09000016,Havering,London Borough,112,"2,57,810","2,295"
E09000017,Hillingdon,London Borough,116,"3,04,824","2,635"
E09000018,Hounslow,London Borough,56,"2,70,782","4,837"
E09000021,Kingston upon Thames,London Borough,37,"1,75,470","4,709"
E09000024,Merton,London Borough,38,"2,06,186","5,480"
E09000026,Redbridge,London Borough,56,"3,03,858","5,386"
E09000027,Richmond upon Thames,London Borough,57,"1,96,904","3,430"
E09000029,Sutton,London Borough,44,"2,04,525","4,665"
E09000031,Waltham Forest,London Borough,39,"2,76,700","7,130"
E12000008,SOUTH EAST,Region,"19,072","91,33,625",479
E06000036,Bracknell Forest,Unitary Authority,109,"1,21,676","1,112"
E06000043,Brighton and Hove,Unitary Authority,83,"2,90,395","3,508"
E06000046,Isle of Wight,Unitary Authority,380,"1,41,538",373
E06000035,Medway,Unitary Authority,194,"2,77,855","1,436"
E06000042,Milton Keynes,Unitary Authority,309,"2,68,607",870
E06000044,Portsmouth,Unitary Authority,40,"2,15,133","5,327"
E06000038,Reading,Unitary Authority,40,"1,63,203","4,040"
E06000039,Slough,Unitary Authority,33,"1,49,112","4,582"
E06000045,Southampton,Unitary Authority,50,"2,52,796","5,065"
E06000037,West Berkshire,Unitary Authority,704,"1,58,527",225
E06000040,Windsor and Maidenhead,Unitary Authority,197,"1,50,906",768
E06000041,Wokingham,Unitary Authority,179,"1,67,979",939
E10000002,Buckinghamshire,County,"1,565","5,40,059",345
E07000004,Aylesbury Vale,Non-metropolitan District,903,"1,99,448",221
E07000005,Chiltern,Non-metropolitan District,196,"95,927",489
E07000006,South Bucks,Non-metropolitan District,141,"70,043",496
E07000007,Wycombe,Non-metropolitan District,325,"1,74,641",538
E10000011,East Sussex,County,"1,709","5,54,590",325
E07000061,Eastbourne,Non-metropolitan District,44,"1,03,160","2,336"
E07000062,Hastings,Non-metropolitan District,30,"92,855","3,124"
E07000063,Lewes,Non-metropolitan District,292,"1,02,744",352
E07000064,Rother,Non-metropolitan District,509,"95,656",188
E07000065,Wealden,Non-metropolitan District,833,"1,60,175",192
E10000014,Hampshire,County,"3,679","13,76,316",374
E07000084,Basingstoke and Deane,Non-metropolitan District,634,"1,75,729",277
E07000085,East Hampshire,Non-metropolitan District,514,"1,20,681",235
E07000086,Eastleigh,Non-metropolitan District,80,"1,31,819","1,653"
E07000087,Fareham,Non-metropolitan District,74,"1,16,339","1,567"
E07000088,Gosport,Non-metropolitan District,25,"85,283","3,363"
E07000089,Hart,Non-metropolitan District,215,"96,293",447
E07000090,Havant,Non-metropolitan District,55,"1,25,813","2,272"
E07000091,New Forest,Non-metropolitan District,753,"1,79,753",239
E07000092,Rushmoor,Non-metropolitan District,39,"95,142","2,437"
E07000093,Test Valley,Non-metropolitan District,628,"1,25,169",199
E07000094,Winchester,Non-metropolitan District,661,"1,24,295",188
E10000016,Kent,County,"3,545","15,68,623",442
E07000105,Ashford,Non-metropolitan District,581,"1,29,281",223
E07000106,Canterbury,Non-metropolitan District,309,"1,64,553",533
E07000107,Dartford,Non-metropolitan District,73,"1,09,709","1,508"
E07000108,Dover,Non-metropolitan District,315,"1,16,969",371
E07000112,Folkestone and Hythe,Non-metropolitan District,357,"1,12,578",316
E07000109,Gravesham,Non-metropolitan District,99,"1,06,385","1,074"
E07000110,Maidstone,Non-metropolitan District,393,"1,69,955",432
E07000111,Sevenoaks,Non-metropolitan District,369,"1,20,293",326
E07000113,Swale,Non-metropolitan District,374,"1,48,519",397
E07000114,Thanet,Non-metropolitan District,103,"1,41,819","1,372"
E07000115,Tonbridge and Malling,Non-metropolitan District,240,"1,30,508",543
E07000116,Tunbridge Wells,Non-metropolitan District,331,"1,18,054",356
E10000025,Oxfordshire,County,"2,605","6,87,524",264
E07000177,Cherwell,Non-metropolitan District,589,"1,49,161",253
E07000178,Oxford,Non-metropolitan District,46,"1,54,327","3,384"
E07000179,South Oxfordshire,Non-metropolitan District,679,"1,40,504",207
E07000180,Vale of White Horse,Non-metropolitan District,578,"1,33,732",232
E07000181,West Oxfordshire,Non-metropolitan District,714,"1,09,800",154
E10000030,Surrey,County,"1,663","11,89,934",716
E07000207,Elmbridge,Non-metropolitan District,95,"1,36,626","1,437"
E07000208,Epsom and Ewell,Non-metropolitan District,34,"79,928","2,345"
E07000209,Guildford,Non-metropolitan District,271,"1,47,889",546
E07000210,Mole Valley,Non-metropolitan District,258,"87,253",338
E07000211,Reigate and Banstead,Non-metropolitan District,129,"1,47,757","1,144"
E07000212,Runnymede,Non-metropolitan District,78,"88,000","1,128"
E07000213,Spelthorne,Non-metropolitan District,45,"99,334","2,213"
E07000214,Surrey Heath,Non-metropolitan District,95,"88,874",935
E07000215,Tandridge,Non-metropolitan District,248,"87,496",353
E07000216,Waverley,Non-metropolitan District,345,"1,25,610",364
E07000217,Woking,Non-metropolitan District,64,"1,01,167","1,591"
E10000032,West Sussex,County,"1,991","8,58,852",431
E07000223,Adur,Non-metropolitan District,42,"63,869","1,523"
E07000224,Arun,Non-metropolitan District,221,"1,59,827",723
E07000225,Chichester,Non-metropolitan District,786,"1,20,750",154
E07000226,Crawley,Non-metropolitan District,45,"1,12,448","2,500"
E07000227,Horsham,Non-metropolitan District,530,"1,42,217",268
E07000228,Mid Sussex,Non-metropolitan District,334,"1,49,716",448
E07000229,Worthing,Non-metropolitan District,33,"1,10,025","3,383"
E12000009,SOUTH WEST,Region,"23,837","55,99,735",235
E06000022,Bath and North East Somerset,Unitary Authority,346,"1,92,106",555
E06000058,"Bournemouth, Christchurch and Poole",Unitary Authority,161,"3,95,784","2,453"
E06000023,"Bristol, City of",Unitary Authority,110,"4,63,405","4,224"
E06000052,Cornwall,Unitary Authority,"3,546","5,65,968",160
E06000059,Dorset,Unitary Authority,"2,491","3,76,484",151
E06000053,Isles of Scilly,Unitary Authority,16,"2,242",137
E06000024,North Somerset,Unitary Authority,374,"2,13,919",572
E06000026,Plymouth,Unitary Authority,80,"2,63,100","3,296"
E06000025,South Gloucestershire,Unitary Authority,497,"2,82,644",569
E06000030,Swindon,Unitary Authority,230,"2,21,996",965
E06000027,Torbay,Unitary Authority,63,"1,35,780","2,159"
E06000054,Wiltshire,Unitary Authority,"3,255","4,98,064",153
E10000008,Devon,County,"6,564","7,95,286",121
E07000040,East Devon,Non-metropolitan District,814,"1,44,317",177
E07000041,Exeter,Non-metropolitan District,47,"1,30,428","2,773"
E07000042,Mid Devon,Non-metropolitan District,913,"81,695",89
E07000043,North Devon,Non-metropolitan District,"1,086","96,110",88
E07000044,South Hams,Non-metropolitan District,886,"86,221",97
E07000045,Teignbridge,Non-metropolitan District,674,"1,32,844",197
E07000046,Torridge,Non-metropolitan District,984,"68,143",69
E07000047,West Devon,Non-metropolitan District,"1,160","55,528",48
E10000013,Gloucestershire,County,"2,653","6,33,558",239
E07000078,Cheltenham,Non-metropolitan District,47,"1,17,090","2,513"
E07000079,Cotswold,Non-metropolitan District,"1,165","89,022",76
E07000080,Forest of Dean,Non-metropolitan District,526,"86,543",164
E07000081,Gloucester,Non-metropolitan District,41,"1,29,285","3,188"
E07000082,Stroud,Non-metropolitan District,461,"1,19,019",258
E07000083,Tewkesbury,Non-metropolitan District,414,"92,599",223
E10000027,Somerset,County,"3,451","5,59,399",162
E07000187,Mendip,Non-metropolitan District,739,"1,14,881",155
E07000188,Sedgemoor,Non-metropolitan District,564,"1,22,791",218
E07000246,Somerset West and Taunton,Non-metropolitan District,"1,188","1,53,866",130
E07000189,South Somerset,Non-metropolitan District,959,"1,67,861",175
W92000004,WALES,Country,"20,736","31,38,631",151
W06000001,Isle of Anglesey,Unitary Authority,711,"69,961",98
W06000002,Gwynedd,Unitary Authority,"2,535","1,24,178",49
W06000003,Conwy,Unitary Authority,"1,126","1,17,181",104
W06000004,Denbighshire,Unitary Authority,837,"95,330",114
W06000005,Flintshire,Unitary Authority,437,"1,55,593",356
W06000006,Wrexham,Unitary Authority,504,"1,36,126",270
W06000023,Powys,Unitary Authority,"5,181","1,32,447",26
W06000008,Ceredigion,Unitary Authority,"1,786","72,992",41
W06000009,Pembrokeshire,Unitary Authority,"1,619","1,25,055",77
W06000010,Carmarthenshire,Unitary Authority,"2,370","1,87,568",79
W06000011,Swansea,Unitary Authority,380,"2,46,466",649
W06000012,Neath Port Talbot,Unitary Authority,441,"1,42,906",324
W06000013,Bridgend,Unitary Authority,251,"1,44,876",578
W06000014,Vale of Glamorgan,Unitary Authority,331,"1,32,165",399
W06000015,Cardiff,Unitary Authority,141,"3,64,248","2,585"
W06000016,Rhondda Cynon Taf,Unitary Authority,424,"2,40,131",566
W06000024,Merthyr Tydfil,Unitary Authority,111,"60,183",540
W06000018,Caerphilly,Unitary Authority,277,"1,81,019",653
W06000019,Blaenau Gwent,Unitary Authority,109,"69,713",641
W06000020,Torfaen,Unitary Authority,126,"93,049",740
W06000021,Monmouthshire,Unitary Authority,849,"94,142",111
W06000022,Newport,Unitary Authority,191,"1,53,302",805
S92000003,SCOTLAND,Country,"77,911","54,38,100",70
S12000033,Aberdeen City,Council Area,186,"2,27,560","1,225"
S12000034,Aberdeenshire,Council Area,"6,313","2,61,470",41
S12000041,Angus,Council Area,"2,182","1,16,040",53
S12000035,Argyll and Bute,Council Area,"6,909","86,260",12
S12000036,City of Edinburgh,Council Area,263,"5,18,500","1,969"
S12000005,Clackmannanshire,Council Area,159,"51,400",323
S12000006,Dumfries and Galloway,Council Area,"6,427","1,48,790",23
S12000042,Dundee City,Council Area,60,"1,48,750","2,486"
S12000008,East Ayrshire,Council Area,"1,262","1,21,840",97
S12000045,East Dunbartonshire,Council Area,174,"1,08,330",621
S12000010,East Lothian,Council Area,679,"1,05,790",156
S12000011,East Renfrewshire,Council Area,174,"95,170",546
S12000014,Falkirk,Council Area,297,"1,60,340",539
S12000047,Fife,Council Area,"1,325","3,71,910",281
S12000049,Glasgow City,Council Area,175,"6,26,410","3,586"
S12000017,Highland,Council Area,"25,657","2,35,540",9
S12000018,Inverclyde,Council Area,160,"78,150",487
S12000019,Midlothian,Council Area,354,"91,340",258
S12000020,Moray,Council Area,"2,238","95,520",43
S12000013,Na h-Eileanan Siar,Council Area,"3,059","26,830",9
S12000021,North Ayrshire,Council Area,885,"1,35,280",153
S12000050,North Lanarkshire,Council Area,470,"3,40,180",724
S12000023,Orkney Islands,Council Area,989,"22,190",22
S12000048,Perth and Kinross,Council Area,"5,286","1,51,290",29
S12000038,Renfrewshire,Council Area,261,"1,77,790",680
S12000026,Scottish Borders,Council Area,"4,732","1,15,270",24
S12000027,Shetland Islands,Council Area,"1,468","22,990",16
S12000028,South Ayrshire,Council Area,"1,222","1,12,550",92
S12000029,South Lanarkshire,Council Area,"1,772","3,19,020",180
S12000030,Stirling,Council Area,"2,187","94,330",43
S12000039,West Dunbartonshire,Council Area,159,"89,130",561
S12000040,West Lothian,Council Area,428,"1,82,140",426
N92000002,NORTHERN IRELAND,Country,"13,793","18,81,641",136
N09000001,Antrim and Newtownabbey,Local Government District,571,"1,42,492",249
N09000011,Ards and North Down,Local Government District,566,"1,60,864",284
N09000002,"Armagh City, Banbridge and Craigavon",Local Government District,"1,338","2,14,090",160
N09000003,Belfast,Local Government District,138,"3,41,877","2,482"
N09000004,Causeway Coast and Glens,Local Government District,"1,986","1,44,246",73
N09000005,Derry City and Strabane,Local Government District,"1,251","1,50,679",120
N09000006,Fermanagh and Omagh,Local Government District,"2,864","1,16,835",41
N09000007,Lisburn and Castlereagh,Local Government District,506,"1,44,381",285
N09000008,Mid and East Antrim,Local Government District,"1,059","1,38,773",131
N09000009,Mid Ulster,Local Government District,"1,831","1,47,392",80
N09000010,"Newry, Mourne and Down",Local Government District,"1,682","1,80,012",107
