code,population,dPOP,dHHS,1,2,3,4,5,6,7,8,households,d_general,0-29,30-59,60-89,6+,logPOP,d1,d2,d3,d4,d5,d6+,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA,PCR,error,perror,Actual,Predicted
E09000018,271523.0,1.051021105307391,1.559881564076009,25985.0,26019.0,16929.0,14224.0,6999.0,3224.0,844.0,678.0,94902.0,53.770767117334444,0.5288749068403241,1.5563639764711972,-1.1765145283141103,4746.0,0.03644648873349103,-0.8538360421497928,-1.7699482346663722,1.5530345604375777,1.1768757006287363,2.2435376822751754,1.7519040970007747,4.584969119637964,-0.9748746654807253,-0.6956857694150138,0.37829141706060104,0.5278982919930849,0.5784712810823206,-0.2766834286115384,0.054498560627619264,0.16403459980901994,-0.2598761928503602,0.004997628323338721,7.638427717826258e-15,34.63578103218108,68.78263376170085,-15.011866644366407,-21.8,53.770767117334444,69.08677190961743
E09000019,242467.0,1.8595210411926575,0.261488330694841,36240.0,30161.0,13394.0,8400.0,3388.0,1392.0,351.0,230.0,93556.0,32.99418065138761,1.8531679812956074,1.0653345275142687,-1.993224643202681,1973.0,-0.10671217403956136,2.0343749987422868,-0.3915119533692623,-0.9723924059939412,-2.1655285035271716,-0.9109790919480844,-0.19919584375932145,1.0987097669906403,4.257790168606254,-0.1965697354202346,-1.2432892507151205,-0.4037583275816036,-1.1814258675752427,-0.48409052546858544,-0.28773190422082084,-0.013820392882777699,-0.2824990101903891,0.003965295866957819,4.750687196889952e-15,-5.279098685474366,30.762348054473755,2.231832596913854,7.3,32.99418065138761,28.041578029476767
E09000020,156129.0,1.7346656966345257,-2.647901787179546,36524.0,22823.0,8855.0,6348.0,2720.0,920.0,230.0,116.0,78536.0,49.95868800799339,-0.6011474013232526,1.840598514587393,-0.4528428548854369,1266.0,-0.6634830539162612,4.010646612017201,-1.300004182406654,-3.153359533181952,-2.6636828860603354,-1.0437450783639275,-0.5344240864808236,-1.7254595940756559,6.1610495635734255,-1.513258432954894,-0.9553716179176848,1.7828781469804682,1.4519965803191979,0.7827386661001126,0.49783671817839614,-0.544096236758019,-0.1464204605474137,0.026857880035423998,2.9962404022170654e-14,10.448199187231992,45.743136240551344,4.215551767442044,9.2,49.95868800799339,45.686273632119395
E09000021,177507.0,1.013569605286741,1.2138105828379697,18198.0,19807.0,10964.0,9719.0,3516.0,1084.0,224.0,127.0,63639.0,33.23812582039018,0.3543938804807733,1.2747645796062081,-0.9520395798571845,1435.0,-0.5011665042194711,-0.5448533432771792,-0.7101099115179834,1.1156381648470606,1.3348260468847415,0.6887561307285469,-0.1006918358672178,2.512317873468666,-0.7222011542692383,-1.4469300227737039,-0.13911610699934832,-0.22262201917029684,-0.5900092191214621,0.5076060150357411,-0.20274196397030228,0.2730173772365768,-0.05803950721487905,-0.016080495127712258,-7.952828802507065e-15,17.331245535973952,52.29947288909949,-19.06134706870931,-36.4,33.23812582039018,48.68318251649879
E09000022,326034.0,1.6737895510008634,-0.1435895790511167,44691.0,39789.0,21164.0,14670.0,6211.0,2520.0,592.0,380.0,130017.0,53.368667071532414,0.967966548797165,2.5420697660460196,-2.0397221360223696,3492.0,0.2678591266593859,0.9246577415480582,-0.8590745160039917,0.43401652017929593,-0.8837655078265978,0.06027043095857697,0.19000886206814843,2.3610088162533356,2.2710157131185973,-1.555285513420022,-1.7339928700339902,0.14069186264921324,-0.17258107704125003,-0.7126729497127782,0.2923913180037319,-0.3854050054048543,-0.3257606055329805,-0.021927137647027806,-1.5714640349164037e-14,16.43519319795935,51.44595244406919,1.9227146274632219,3.6999999999999997,53.368667071532414,48.077366850121784
E09000023,305842.0,1.458135819644331,0.4678762354429922,39680.0,34220.0,17931.0,14707.0,6253.0,2438.0,500.0,362.0,116091.0,66.7011071075915,0.6075141812812276,2.616129005294487,-1.788454929927725,3300.0,0.18699263831884416,0.8755391514820633,-1.1809875667230518,-0.16275489067972249,-0.11324270814200958,0.5722588621749602,0.29578939587745995,2.703403473926648,1.8085049986849497,-1.4232581071740549,-1.250950180339344,0.9533877902787635,-0.2720099699116797,0.09051927376749203,0.3897442313022846,-0.18378910527224823,-0.24676100200426174,0.00854115097499153,1.0926597164084467e-14,17.946682653877748,52.88569775619297,13.815409351398529,26.1,66.7011071075915,49.69994481616311
E09000024,206548.0,1.129431055525316,0.41050811940573706,22294.0,23958.0,13311.0,11747.0,4818.0,1906.0,441.0,282.0,78757.0,62.45521622092686,0.09335875824802127,2.1123306846841547,-1.130632654052268,2629.0,-0.3095110581609292,-0.6181943866513503,-0.9113241150586913,0.881101202794541,1.1365003006024226,1.1868052079065383,0.6300870418968756,2.8918216071090663,-0.46480352366351296,-1.739046165131098,-0.32188331148132854,0.5353128987299934,0.16147820138079255,0.11444644101932382,0.11678610806859696,-0.5558974720354413,-0.1418445119848896,0.0010365920571538956,4.7421722447564785e-15,22.312338345194927,57.0441338546448,5.411082366282059,9.5,62.45521622092686,53.94198859026383
E09000025,353134.0,1.5120139551116945,4.535433820597233,26536.0,22164.0,16502.0,15211.0,10089.0,6842.0,2167.0,2008.0,101519.0,60.60022541018424,1.7771541859840065,1.558130982013173,-2.1724275865319855,11017.0,0.36885321077435873,-1.169719857472897,-3.3663947450090763,0.4176771666536859,1.1742667131959907,4.397522396544886,5.699376122483508,9.098703217501667,-0.42231418006624344,1.8631073911992841,2.2401644153485885,2.582560421345849,0.34303125428614123,-0.9055327252666282,-0.44468081070078314,0.21616321755499013,0.25875733663010486,0.015466199745107767,1.69132522774397e-14,41.06693915942924,74.90853145088204,-14.3083060406978,-19.1,60.60022541018424,79.77488659299149
E09000026,305222.0,1.1086679337373009,2.613860742017385,25228.0,25902.0,16873.0,16194.0,8660.0,4130.0,1137.0,981.0,99105.0,69.7852710486138,0.8821938919142484,0.871206361855849,-1.1526744357155276,6248.0,0.18442591915719622,-1.343471068788046,-2.1360987763345025,0.970034569493212,1.928923165353617,3.389188753135064,2.631284315160349,5.863467620963121,-1.5849527498687412,0.5212224796452594,1.3248319017472807,0.9939248206794451,0.466128539744223,0.3669394128455793,-0.1785997252801454,0.06516364387365378,-0.3255665244460266,0.0052244048128907705,8.486874503623587e-15,32.301236845413136,66.55890071766007,3.2263703309537277,4.8,69.7852710486138,68.92375120446512
E09000027,198019.0,0.784244137699352,-0.27502720526250396,26008.0,25479.0,12428.0,11198.0,3607.0,902.0,133.0,80.0,79835.0,41.41016771117923,-0.6012018986373242,1.93536267588259,-0.5192654976458246,1115.0,-0.3628501017581238,0.46784412432859307,-0.4841001498095739,-0.07565504835114228,0.6420124165299735,-0.15739089547476454,-0.679721152434852,0.5445375786227409,0.5049481379035703,-2.041162864087576,-0.8551077251281257,0.7189705698100632,-0.02269072414151782,0.7198724338069681,0.22708874513720803,-0.11148401233303491,0.09091456269360555,-0.0036573054891305135,4.499260539777999e-15,13.49326666727889,48.643666980168206,-7.233499268988979,-14.899999999999999,41.41016771117923,44.78845035107961
E09000028,318830.0,1.572659880420296,0.5310278904033287,40307.0,36090.0,20904.0,13688.0,5707.0,2681.0,670.0,375.0,120422.0,44.85148825392842,1.0137052374863305,2.3325712297462586,-1.9683450652433596,3726.0,0.23959751973617083,0.695300886438087,-1.0401259690166182,1.2092346094114506,-0.8372940416041708,0.028419196531820574,0.4654763700292172,2.851361158173588,1.7527831288880367,-1.4676786121646677,-1.5268994433259575,-0.15137193590420578,-0.22225427198045516,-1.1201724327077742,0.07641479327136863,0.23973246429552775,-0.1480457380769883,-0.03577788747225097,-2.7449920834102963e-14,22.659678872458105,57.3749875657836,-12.523499311855176,-21.8,44.85148825392842,54.49207036632429
