code,population,dPOP,dHHS,1,2,3,4,5,6,7,8,households,d_general,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi,6+,logPOP,d1,d2,d3,d4,d5,d6+,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA,PCR,error,perror,Actual,Predicted
E06000055,173292.0,-0.7389620471673073,0.8590296670054057,18396.0,21264.0,10534.0,8697.0,3236.0,1180.0,276.0,229.0,63812.0,34.04658033838839,-0.08485634387562957,0.25555990126942996,-0.07968828536502763,0.576448275621031,0.04163758227160252,0.3996746580211862,1685.0,-0.5315636877915169,-0.4856506635327853,-0.08149282675592366,0.5989406534072639,0.4210223750230553,0.30741259980558583,0.15949246069528736,0.742872648370833,-0.9157889014132141,0.12672859882374227,0.44517005998822823,-0.816784234942872,-0.15613944678587344,-0.29017537617706357,0.22872056810911934,0.2741080480277888,0.5309266759706335,0.15633492292681297,0.4683428880344069,0.058727017214528554,-0.02372853047246183,-3.714061172032692e-14,-1.9527410604399733,33.674001273147624,0.3725790652407639,1.0999999999999999,34.04658033838839,33.8911563152566
E06000056,288648.0,-0.6626168946826109,1.096091858215095,27030.0,37399.0,17957.0,15702.0,4747.0,1239.0,217.0,108.0,104399.0,37.069371691471964,-0.480909600271613,0.8206608782467538,-0.005469758042341728,-0.3683911492971761,-0.5239109008968303,-0.28634654350134014,1564.0,0.1138068557670713,-1.2327722974396773,0.6332781086697078,1.09550786108528,1.205953618325571,-0.13309518213590305,-0.611266486589505,-0.026110678288213632,-2.2452950209344364,-1.1197519429537297,-0.465180618989094,-0.6602715209178571,-0.2908873872128076,-0.05887944500873403,0.7581711884588535,0.3447940596723835,0.1558574361375498,-0.11720574236927067,0.48998554521470755,-0.09292869361853734,0.01525293649978526,2.9622249284091976e-14,-2.5852530143451573,33.06181285217039,4.0075588393015735,12.1,37.069371691471964,29.3599578408621
E06000057,322434.0,-1.932836402955518,-1.0118209034820014,41406.0,53502.0,20775.0,16422.0,4881.0,1232.0,226.0,90.0,138534.0,26.672125148092324,-1.5252628698240713,-0.5473989190218537,1.5066683708053348,-0.525864386783544,-0.5536766105372741,-0.28634654350134014,1548.0,0.25381510063607526,-0.21597446057194672,1.4328774358830485,-0.4849535254968683,-0.5661892703682925,-0.9933693796998476,-0.8680916257457816,-3.506157936521037,-0.934912750727319,0.7282695836338567,-0.1903272995338996,-0.4911572741970706,0.5435880186542896,0.313272893663465,-0.1259178525174434,0.14167427624111517,0.5722504739386092,0.20443760937124872,0.07740364454579957,0.03545347299455743,0.007494549350929373,1.7043185523609345e-14,-19.08756969358076,17.089739711175095,9.582385436917228,56.10000000000001,26.672125148092324,20.037640282331537
E06000058,395331.0,0.5652577418311743,0.8294551146298814,49524.0,51092.0,20623.0,16436.0,5655.0,1880.0,435.0,259.0,145904.0,15.177155345773542,-0.5595228457933672,-0.38479087625232905,0.5757632961871182,-0.5933529171348444,-0.583442320177718,-0.32245292252884156,2574.0,0.5116255450218524,0.8152032768702234,0.4029753635702864,-1.1028446343296374,-0.8938872863728153,-0.6971192046344523,-0.4317609943665038,-1.266605902899599,0.9985465828126314,0.19550968882103015,-0.7831364847040256,0.04194856185185239,0.6014246968375617,-0.3408243763757816,0.4831417688338752,-0.1629231973036554,-0.6257456075153522,-1.1933135462946243,0.7452706665163951,-0.09700976246161996,-0.009186202339123371,-1.2622129292608488e-14,-8.680832698075562,27.162093046901408,-11.984937701127865,-44.1,15.177155345773542,28.437249128799436
E06000059,378508.0,-1.3396703046985357,-2.1064725374966957,53769.0,72193.0,24424.0,20517.0,6801.0,1976.0,365.0,168.0,180213.0,14.002346053451975,-1.8756719109627624,-1.440646067383212,2.1743966896886726,-0.5483605635673108,-0.583442320177718,-0.28634654350134014,2509.0,0.45662151935892964,-0.22928489960558932,1.8444567379967678,-1.5200284748226165,-0.8271895669752869,-0.782812999456504,-0.6826822568540302,-4.433370672073894,-0.5098551021526776,1.5954593014700045,-0.10099104296520266,-0.1906014599097849,0.9482724080107211,0.28878567216358697,-0.7323248067059268,-0.14952746718918766,-0.3076617968312707,-0.026970954730923057,-0.9240456672215346,0.12604062926751727,-0.01314482486919637,-1.7396215572829144e-14,-20.52743796264126,15.696136512675704,-1.6937904592237292,-10.8,14.002346053451975,22.077414134147133
E06000060,543973.0,-0.7752878305782338,0.8317969300849773,52065.0,70479.0,31471.0,30987.0,10805.0,3535.0,839.0,546.0,200727.0,28.126395979212205,-0.3826676560438423,0.3220911040712462,0.11888560243274449,-0.09843702789197407,0.6667174847209231,-0.2502401644738388,4920.0,0.91533948962719,-1.220776663694124,0.4299402370217705,0.00422820753349647,1.4267654689179257,0.5694361883839746,0.03166198974886131,0.5439609330050353,-2.1330980684420573,0.44988915495830284,-0.6125316000403568,-0.15165795781993874,0.3368734054045298,0.579898577451968,0.9222711854067565,-0.025364715156970308,-0.35361148448969315,0.27276819331597313,0.03131998080703724,-0.0006651078477493549,0.002026247410886946,8.852348528575894e-15,-7.8942409812973615,27.92341042292115,0.20298555629105408,0.7000000000000001,28.126395979212205,28.93041647999235
E08000001,287550.0,0.45564387693204006,-0.32021752952825566,37091.0,37513.0,18430.0,14570.0,5373.0,2306.0,628.0,460.0,116371.0,42.42740392975135,0.35908069948581134,-0.16776944407197103,-0.17556528882937894,1.1613488719989684,0.6964831943613669,-0.2502401644738388,3394.0,0.10898621985050398,0.2887491263542915,-0.39229839682597595,0.11807858496563399,-0.19567418261047004,-0.07414045863539324,0.345670134008411,0.7923004782719067,0.4562181182675954,0.3616246477651821,0.515144586472796,0.8217985453817547,0.4460018183820717,0.03887700049681493,-0.5601295938007147,0.6030839845852269,0.050022874201610126,0.16713589215011804,0.005302373467733656,-0.07137503044529273,0.007019188141313474,1.5814228076029603e-14,2.7800067047748627,38.2546789399996,4.1727249897517495,10.9,42.42740392975135,41.44250862047085
E08000002,190990.0,0.3941827566956863,-0.4451788152429563,24263.0,26003.0,12647.0,9981.0,3454.0,1187.0,321.0,257.0,78113.0,49.74082412691764,-0.055511920462348686,0.09178345379125902,0.009195311135410831,-0.4358796796484766,0.87507745220403,-0.2502401644738388,1765.0,-0.40856464425476574,0.08230624997297588,-0.09119351087766416,0.371469991216131,-0.05254473894054878,-0.23829507539968903,-0.09756116907466605,-0.048172484107712854,0.20788592512907397,-0.282872148412158,0.47223051262439486,0.33780878964495903,-0.4631040481773021,0.9789241248574034,-0.22726952270025527,0.14492667685705607,-0.24548725318705575,-0.03777265200632874,0.051046999103556465,-0.014674215823386148,0.0007077239485188894,5.295051140906206e-15,1.5863926452623738,37.099417443615756,12.64140668330188,34.1,49.74082412691764,36.1564091839221
E08000003,552858.0,1.0522507325377117,0.7704079650347895,72255.0,61144.0,31456.0,21743.0,10226.0,5375.0,1527.0,1243.0,204969.0,31.291941149445247,2.904513230992733,-0.7873535930637322,-1.903217096961686,-0.07594085110820732,1.9466429992600078,0.1469300048286765,8145.0,0.935832248417394,1.148097460048801,-1.079792985776031,-0.23369575105216453,-1.2592987947723717,0.23841677079533535,1.0589272430286185,2.816586391057541,2.64193886730578,1.2853729915481844,-0.930837056742545,2.0991234245866446,-1.3227935415328655,0.41616891429684394,0.567739765124818,0.23536395022226353,0.43195165972377947,-0.10351881153533449,0.17982367885854797,0.07711877895765157,-0.011192201264687953,-1.58664596134599e-14,-5.987989387231305,29.768411368992695,1.5235297804525523,5.1,31.291941149445247,29.95122167619384
E08000004,237110.0,0.2973912178006744,0.5101717853061466,26790.0,28033.0,15000.0,11280.0,4681.0,2320.0,795.0,804.0,89703.0,46.39196997174307,0.8023199793211103,-0.38556579800950824,-0.42661368015792683,-0.4358796796484766,2.4228943535071092,2.3133127464787595,3919.0,-0.13497103005431227,-0.2219439655288994,-0.673829117236194,0.7523818305807676,-0.16534604123855734,0.43110610721173476,1.325471699517347,2.3363961476208583,0.5739144231370479,1.6310293155920808,-0.30590618384196955,-0.8923600797959803,-1.746483633992514,1.57361596625254,-0.8723845789472191,0.191452024185616,-0.04607858879566196,0.22266020854907187,0.2793310997218243,-0.010029887374384483,-0.01763596471099605,-2.6047991153737554e-14,1.7975886847522178,37.30382744588318,9.088142525859894,24.4,46.39196997174307,39.14942805910592
