code,name,area,population,dPOP,All ages,0-19,20-39,40-59,60-79,80+,Area name ,Care home,Elsewhere,Home,Hospice,Hospital,Other communal establishment,deaths_general,deaths_restricted,cases,days_since_100+_cases,total,1PHHS,2PHHS,3PHHS,4PHHS,5PHHS,6+PHHS,total_households,Household residents,Communal establishment residents,Households with at least one usual resident
E07000032,Amber Valley,265.0,126678.0,478.03018867924527,126678.0,26442.0,27877.0,36220.0,29342.0,6797.0,Amber Valley,35,1,7,3,98,1,106,39,3704.0,238.0,52596,14658,20280,8233,6802,1923,700,122300.0,121200.0,1100.0,52600.0
E07000033,Bolsover,160.0,79530.0,497.0625,79530.0,17378.0,18922.0,22459.0,16940.0,3831.0,Bolsover,31,0,6,2,52,2,58,35,2647.0,233.0,32801,9521,12197,5337,4021,1280,445,75900.0,75300.0,600.0,32800.0
E07000034,Chesterfield,66.0,104628.0,1585.2727272727273,104628.0,21991.0,25099.0,29104.0,22677.0,5757.0,Chesterfield,38,0,6,1,58,0,64,39,2831.0,243.0,46796,15412,16996,7097,5203,1559,529,103800.0,102700.0,1100.0,46800.0
E07000035,Derbyshire Dales,792.0,71977.0,90.8800505050505,71977.0,13729.0,12375.0,21130.0,19690.0,5053.0,Derbyshire Dales,38,0,2,3,56,0,58,41,1294.0,230.0,30744,8899,12289,4173,3810,1218,355,71100.0,69600.0,1600.0,30700.0
E07000036,Erewash,110.0,115490.0,1049.909090909091,115490.0,25400.0,27580.0,32480.0,23523.0,6507.0,Erewash,48,0,6,12,100,1,106,61,3048.0,239.0,48692,14164,18141,8038,6139,1643,567,112100.0,110900.0,1100.0,48700.0
E07000037,High Peak,539.0,92221.0,171.09647495361781,92221.0,19600.0,20379.0,26842.0,20781.0,4619.0,High Peak,60,0,4,0,108,0,112,60,2451.0,237.0,38946,11362,14259,6043,5215,1582,485,90900.0,89900.0,1000.0,38900.0
E07000038,North East Derbyshire,276.0,101125.0,366.3949275362319,101125.0,20348.0,21064.0,28067.0,25522.0,6124.0,North East Derbyshire,76,1,10,1,84,0,95,77,2986.0,245.0,43070,12158,16643,6799,5570,1439,461,99000.0,98300.0,800.0,43100.0
E07000039,South Derbyshire,338.0,104493.0,309.1508875739645,104493.0,24351.0,25116.0,29933.0,20600.0,4493.0,South Derbyshire,29,0,9,10,95,0,104,39,3164.0,244.0,38992,10059,14598,6486,5587,1686,576,94600.0,93100.0,1500.0,39000.0
E07000040,East Devon,814.0,144317.0,177.2936117936118,144317.0,28364.0,25493.0,36828.0,40644.0,12988.0,East Devon,29,0,5,0,24,0,29,29,1718.0,236.0,59071,18269,24150,7479,6318,2110,745,132500.0,129500.0,2900.0,59100.0
E07000041,Exeter,47.0,130428.0,2775.063829787234,130428.0,28053.0,47504.0,28263.0,20364.0,6244.0,Exeter,21,0,2,0,25,0,27,21,2777.0,240.0,49242,16555,16572,7042,5922,2089,1062,117800.0,111800.0,6000.0,49200.0
E07000042,Mid Devon,913.0,81695.0,89.47973713033954,81695.0,18636.0,16187.0,22494.0,19399.0,4979.0,Mid Devon,4,1,4,0,16,0,21,4,744.0,217.0,32758,8995,12585,4895,4212,1509,562,77800.0,76900.0,900.0,32800.0
E07000043,North Devon,1086.0,96110.0,88.49907918968692,96110.0,20434.0,19259.0,25814.0,24016.0,6587.0,North Devon,11,0,2,0,19,0,21,11,963.0,217.0,40001,11846,15343,5620,4746,1710,736,93700.0,91600.0,2100.0,40000.0
E07000044,South Hams,886.0,86221.0,97.31489841986456,86221.0,17041.0,14637.0,23784.0,24595.0,6164.0,South Hams,2,0,1,0,16,0,17,2,624.0,122.0,36858,11242,14754,4887,4147,1331,497,83100.0,81800.0,1300.0,36900.0
E07000045,Teignbridge,674.0,132844.0,197.0979228486647,132844.0,26661.0,25591.0,36286.0,34819.0,9487.0,Teignbridge,15,0,1,0,30,0,31,15,1018.0,230.0,54003,16222,21121,7600,6300,1982,778,124200.0,121300.0,2900.0,54000.0
E07000046,Torridge,984.0,68143.0,69.2510162601626,68143.0,13665.0,12453.0,18331.0,19055.0,4639.0,Torridge,8,0,4,0,15,0,19,8,473.0,57.0,27986,8402,11156,3746,3119,1099,464,63800.0,62900.0,1000.0,28000.0
E07000047,West Devon,1160.0,55528.0,47.86896551724138,55528.0,10973.0,9733.0,15392.0,15469.0,3961.0,West Devon,7,0,6,0,9,0,15,7,461.0,63.0,22725,6414,9260,3044,2709,949,349,53500.0,51900.0,1600.0,22700.0
E07000061,Eastbourne,44.0,103160.0,2344.5454545454545,103160.0,22292.0,22702.0,26385.0,23409.0,8372.0,Eastbourne,37,0,2,2,41,0,43,39,1299.0,232.0,45012,16298,15808,5959,4579,1634,734,99400.0,97000.0,2400.0,45000.0
E07000062,Hastings,30.0,92855.0,3095.1666666666665,92855.0,21279.0,22088.0,25417.0,19204.0,4867.0,Hastings,1,0,1,1,11,0,12,2,906.0,203.0,41159,15781,13369,5696,3890,1502,921,90300.0,88600.0,1700.0,41200.0
E07000063,Lewes,292.0,102744.0,351.86301369863014,102744.0,22172.0,19818.0,27955.0,24960.0,7839.0,Lewes,51,0,4,4,65,2,69,57,1025.0,239.0,42181,12744,15853,6074,5165,1723,622,97500.0,95900.0,1600.0,42200.0
E07000064,Rother,509.0,95656.0,187.92927308447938,95656.0,17823.0,16060.0,24303.0,28548.0,8922.0,Rother,28,1,1,2,37,0,39,30,1022.0,222.0,40877,13889,15959,5065,3768,1396,800,90600.0,88200.0,2400.0,40900.0
E07000065,Wealden,833.0,160175.0,192.28691476590637,160175.0,33993.0,29289.0,44534.0,40872.0,11487.0,Wealden,54,0,0,5,81,0,81,59,1884.0,242.0,62676,17279,24503,8934,8222,2708,1030,148900.0,146000.0,2900.0,62700.0
E07000066,Basildon,110.0,185862.0,1689.6545454545455,185862.0,46867.0,47782.0,49476.0,32884.0,8853.0,Basildon,28,0,10,4,217,0,227,32,4651.0,251.0,72746,21480,24094,11812,10564,3461,1335,174500.0,173400.0,1100.0,72700.0
E07000067,Braintree,612.0,151561.0,247.6486928104575,151561.0,35463.0,33927.0,42623.0,31679.0,7869.0,Braintree,30,1,5,2,99,0,105,32,1794.0,242.0,61043,16537,22087,9914,8726,2875,904,147100.0,145500.0,1600.0,61000.0
E07000068,Brentwood,153.0,76550.0,500.3267973856209,76550.0,17557.0,17378.0,21820.0,14819.0,4976.0,Brentwood,15,0,7,0,93,0,100,15,1781.0,244.0,30646,8853,10458,4715,4738,1466,416,73600.0,72800.0,800.0,30600.0
E07000069,Castle Point,45.0,90070.0,2001.5555555555557,90070.0,19005.0,19049.0,23627.0,22568.0,5821.0,Castle Point,9,0,7,2,93,0,100,11,1665.0,239.0,36440,9524,13588,5770,5170,1793,595,88000.0,87400.0,600.0,36400.0
E07000070,Chelmsford,339.0,177079.0,522.3569321533923,177079.0,41156.0,43609.0,48672.0,34139.0,9503.0,Chelmsford,28,0,2,3,131,0,133,31,2672.0,251.0,69667,19138,24829,11029,10339,3315,1017,168300.0,166200.0,2100.0,69700.0
E07000071,Colchester,329.0,192523.0,585.1762917933131,192523.0,45550.0,55956.0,48587.0,33772.0,8658.0,Colchester,40,0,2,4,106,1,108,45,2441.0,243.0,71634,20849,25631,11291,9661,3098,1104,173100.0,167100.0,6000.0,71600.0
E07000072,Epping Forest,339.0,131137.0,386.834808259587,131137.0,30157.0,30953.0,36878.0,25614.0,7535.0,Epping Forest,41,2,5,3,147,0,154,44,2848.0,253.0,51991,15285,17318,8406,7595,2519,868,124700.0,123600.0,1000.0,52000.0
