date,name,code,Rural Urban,households,1,2,3,4,5,6,7,8
2011,Haringey,E09000014,Total,101955,32524,29431,16563,12753,6454,2720,815,695
2011,Islington,E09000019,Total,93556,36240,30161,13394,8400,3388,1392,351,230
2011,Kensington and Chelsea,E09000020,Total,78536,36524,22823,8855,6348,2720,920,230,116
2011,Lambeth,E09000022,Total,130017,44691,39789,21164,14670,6211,2520,592,380
2011,Lewisham,E09000023,Total,116091,39680,34220,17931,14707,6253,2438,500,362
2011,Newham,E09000025,Total,101519,26536,22164,16502,15211,10089,6842,2167,2008
2011,Southwark,E09000028,Total,120422,40307,36090,20904,13688,5707,2681,670,375
2011,Tower Hamlets,E09000030,Total,101257,35047,30440,13223,10124,5575,4051,1493,1304
2011,Wandsworth,E09000032,Total,130493,42106,43894,19970,15575,5753,2307,506,382
2011,Westminster,E09000033,Total,105772,47893,31340,12507,8301,3580,1542,345,264
2011,Barking and Dagenham,E09000002,Total,69681,19215,18641,12616,10516,5414,2329,507,443
2011,Barnet,E09000003,Total,135916,37957,38861,23078,21249,9089,3926,997,759
2011,Bexley,E09000004,Total,92604,25789,28734,15633,14650,5523,1743,349,183
2011,Brent,E09000005,Total,110286,30616,26666,19007,16509,9124,5302,1565,1497
2011,Bromley,E09000006,Total,130862,40815,41993,21331,18166,6504,1592,314,147
2011,Croydon,E09000008,Total,145010,43043,43020,25094,20435,8706,3341,837,534
2011,Ealing,E09000009,Total,124082,35329,31666,21170,19108,9533,4811,1298,1167
2011,Enfield,E09000010,Total,119916,33359,33792,20930,19313,8215,3097,689,521
2011,Greenwich,E09000011,Total,101045,32370,28490,16256,13828,6166,2804,653,478
2011,Harrow,E09000015,Total,84268,19008,23449,14861,15376,6934,3235,820,585
2011,Havering,E09000016,Total,97199,28215,31228,16132,14344,5252,1532,320,176
2011,Hillingdon,E09000017,Total,100214,25290,29274,17348,16715,7337,2945,748,557
2011,Hounslow,E09000018,Total,94902,25985,26019,16929,14224,6999,3224,844,678
2011,Kingston upon Thames,E09000021,Total,63639,18198,19807,10964,9719,3516,1084,224,127
2011,Merton,E09000024,Total,78757,22294,23958,13311,11747,4818,1906,441,282
2011,Redbridge,E09000026,Total,99105,25228,25902,16873,16194,8660,4130,1137,981
2011,Richmond upon Thames,E09000027,Total,79835,26008,25479,12428,11198,3607,902,133,80
2011,Sutton,E09000029,Total,78174,23749,23697,13350,11593,4155,1272,242,116
2011,Waltham Forest,E09000031,Total,96861,28756,24330,16875,14428,7235,3536,935,766
2011,Bracknell Forest,E06000036,Total,45878,12707,15522,7648,7185,2074,576,115,51
2011,Brighton and Hove,E06000043,Total,121540,44294,39817,17285,13244,4822,1613,297,168
2011,Isle of Wight,E06000046,Total,61085,19957,23439,8333,6208,2182,746,147,73
2011,Medway,E06000035,Total,106209,29434,34837,18384,15493,5545,1908,388,220
2011,Milton Keynes,E06000042,Total,98584,25546,32859,17221,14896,5456,1837,477,292
2011,Portsmouth,E06000044,Total,85473,27471,27470,13514,10686,4422,1435,299,176
2011,Reading,E06000038,Total,62869,19237,20410,9955,8066,3189,1382,361,269
2011,Slough,E06000039,Total,50766,14447,12370,8563,7812,4160,2180,678,556
2011,Southampton,E06000045,Total,98254,33241,31029,14638,11705,4846,1920,530,345
2011,West Berkshire,E06000037,Total,62340,16123,22607,10190,9502,2875,822,154,67
2011,Windsor and Maidenhead,E06000040,Total,58349,16554,19740,9227,8683,2902,885,204,154
2011,Wokingham,E06000041,Total,60332,14084,21502,10094,10397,3172,826,171,86
2011,Buckinghamshire,E10000002,Total,200727,52065,70479,31471,30987,10805,3535,839,546
2011,East Sussex,E10000011,Total,231905,75991,85492,31728,25624,8963,3149,662,296
2011,Hampshire,E10000014,Total,545254,145623,204410,85066,76776,24164,6976,1525,714
2011,Kent,E10000016,Total,605638,174331,214222,94275,81350,28810,9622,1999,1029
2011,Oxfordshire,E10000025,Total,258855,70834,91583,41103,37781,12194,3942,878,540
2011,Surrey,E10000030,Total,455791,124431,156622,72413,71536,22844,6150,1203,592
2011,West Sussex,E10000032,Total,345614,106784,123540,50665,44912,14156,4320,815,422
2011,Bath and North East Somerset,E06000022,Total,73515,22535,26034,10483,9959,3327,908,183,86
2011,Bournemouth,E06000028,Total,82374,30390,27575,11034,8664,3163,1135,252,161
2011,"Bristol, City of",E06000023,Total,182747,61607,60565,26593,21192,7932,3326,872,660
2011,Cornwall,E06000052,Total,230389,69269,87823,33313,26863,9046,3146,604,325
2011,Isles of Scilly,E06000053,Total,989,336,378,122,114,32,4,1,2
2011,North Somerset,E06000024,Total,88227,27115,33000,12468,11081,3406,900,156,101
2011,Plymouth,E06000026,Total,109307,34317,38502,16644,12859,4667,1671,381,266
2011,Poole,E06000029,Total,63530,19134,23517,9589,7772,2492,745,183,98
2011,South Gloucestershire,E06000025,Total,107538,28554,38898,17056,16507,4961,1228,238,96
2011,Swindon,E06000030,Total,88360,26143,30472,14261,11989,3813,1176,316,190
2011,Torbay,E06000027,Total,59010,20192,21959,7953,5879,2108,689,149,81
2011,Wiltshire,E06000054,Total,194194,51845,74250,30011,26671,8556,2239,423,199
2011,Devon,E10000008,Total,322644,97945,124941,44313,37473,12779,3928,826,439
2011,Dorset,E10000009,Total,180213,53769,72193,24424,20517,6801,1976,365,168
2011,Gloucestershire,E10000013,Total,254615,75945,94118,36901,32783,10807,3044,671,346
2011,Somerset,E10000027,Total,226989,67537,86569,32602,27550,9216,2683,567,265
2011,Isle of Anglesey,W06000001,Total,30594,9888,10941,4380,3541,1365,369,75,35
2011,Gwynedd,W06000002,Total,52473,18548,17299,6990,5954,2535,844,195,108
2011,Conwy,W06000003,Total,51177,17297,18668,6881,5529,1977,636,127,62
2011,Denbighshire,W06000004,Total,40546,12714,14668,5783,4890,1722,565,150,54
2011,Flintshire,W06000005,Total,63781,17477,23014,10427,8845,2947,834,166,71
2011,Wrexham,W06000006,Total,57029,16817,19782,9421,7708,2383,687,156,75
2011,Powys,W06000023,Total,58345,18359,22160,7770,6562,2515,746,159,74
2011,Ceredigion,W06000008,Total,31562,10456,11257,4267,3413,1399,539,137,94
2011,Pembrokeshire,W06000009,Total,53122,16392,19972,7352,6153,2303,744,141,65
2011,Carmarthenshire,W06000010,Total,78829,23770,28636,12131,9558,3366,1047,211,110
2011,Swansea,W06000011,Total,103497,34485,34757,15533,12524,4308,1367,352,171
2011,Neath Port Talbot,W06000012,Total,60393,18259,20910,10326,7835,2317,583,120,43
2011,Bridgend,W06000013,Total,58515,16472,20919,10151,7791,2423,596,114,49
2011,Vale of Glamorgan,W06000014,Total,53505,15851,18868,8654,6988,2357,609,129,49
2011,Cardiff,W06000015,Total,142557,47141,45206,21363,17882,6828,2754,800,583
2011,Rhondda Cynon Taff,W06000016,Total,99663,29875,33674,17205,13365,4102,1153,198,91
2011,Merthyr Tydfil,W06000024,Total,24264,6559,8321,4454,3441,1074,309,80,26
2011,Caerphilly,W06000018,Total,74479,20196,26235,13195,10278,3440,878,171,86
2011,Blaenau Gwent,W06000019,Total,30416,9608,10185,5364,3716,1103,346,63,31
2011,Torfaen,W06000020,Total,38524,11163,13408,6547,5156,1641,469,75,65
2011,Monmouthshire,W06000021,Total,38233,10592,14388,5862,5084,1686,477,82,62
2011,Newport,W06000022,Total,61172,18849,20359,9596,8065,2920,1046,210,127
