code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000116,-0.9300543,-0.7990251,-0.9845964,-0.8156086,0.942254,-0.82177234,-1.2781736,-1.1023805,0.22676697,-0.57119095,-0.98749685,-0.6473431,-1.2569009,-0.6645439,-1.0697559,-1.2853035,-1.1575032,-1.3359076,1.6083914
E07000117,1.1376314,-0.799024,-0.89129037,-0.44979316,1.3029541,-1.2612082,-0.5797386,-1.1065375,-0.43306378,-0.2032896,-0.9859246,-1.1046405,-0.78687394,-0.35833198,-1.0934308,-1.0543362,-0.4045953,-1.323736,1.2767593
E07000118,0.63755405,-0.799024,-0.98227334,-0.57685024,-0.20094949,-1.0816411,-1.0886749,-1.0927839,-0.5127724,-0.5737189,-1.0000421,-1.1311085,-1.2403716,-0.092611454,-0.917429,-1.1401652,-1.3655572,-1.3117129,1.2935065
E07000119,0.9492829,-0.799024,-0.84019184,-0.65995866,-0.37227547,-0.43544638,-0.8848816,-0.842602,1.2624073,0.25637057,-0.96448195,-0.7236187,-0.63029546,0.060647894,-0.848052,-0.5473787,-1.1129628,-1.3359082,1.3869419
E07000120,0.9534041,-0.799024,-0.8471404,-0.35525298,1.4076277,-1.2746493,-0.6036842,-1.1054538,-0.49347606,-0.33256334,-0.98688465,-0.9209493,-0.9332853,-0.42690897,-1.092377,-1.1706645,-0.24688692,-1.3450344,1.2928462
E07000121,-0.2624075,-0.799024,-1.0163819,-1.025869,-0.085458376,-1.5894079,-0.5055867,-1.1055512,0.054188643,-0.34935355,-0.99985737,-0.39313596,-0.86972684,-0.11825684,-0.97554404,-0.9111996,-1.0226238,-1.2627553,1.2844054
E07000122,1.7983308,-0.799024,-0.9049806,-0.6044566,1.5651833,-1.2604944,-0.5563349,-1.1065313,-0.4450705,-0.36743292,-0.97582006,-0.43905863,-0.69508183,-0.57341665,-0.92294896,-1.2748829,-0.22699063,-1.3359082,1.2753257
E07000123,1.1878498,-0.799024,-1.0145214,-0.3811711,1.3924356,-1.9308078,-0.5114331,-0.9618234,-0.82925516,-0.24934122,-0.90107554,-0.45800602,-1.0455693,-0.7033639,-1.0947772,-1.1659195,-1.451879,-1.3049177,1.2830508
E07000124,0.007348261,-0.799024,-0.6443397,-1.6341958,-0.3451975,-0.44153532,-1.3028762,-0.9922912,0.570989,-0.54774904,-0.99995166,-0.7496613,-1.2722124,-0.29642895,-0.92320967,-1.1659195,-1.1377919,-1.3547294,1.4541037
E07000125,0.91613185,-0.799024,-0.7694063,-0.6281519,0.44656965,-1.0480392,-1.0682821,-1.1054721,-0.62349504,-0.41433775,-0.9979083,-1.0636388,-1.0792356,-0.46579248,-1.0344609,-1.1142297,-0.40819088,-1.3434455,1.3128612
E07000126,0.17826872,-0.799024,-0.96877813,-0.38684577,-0.16706318,-0.96687037,-0.9024164,-1.0771097,0.013818298,-0.6016976,-0.9979102,-1.2160376,-1.258377,-0.21497023,-0.91076064,-1.1989851,-0.2449319,-1.323736,1.2977246
E07000127,0.4816377,-0.799024,-0.9764691,-0.8624114,-0.11147453,-1.0254904,-0.64877117,-1.0628093,0.2599653,-0.61336905,-0.9977644,-0.9780211,-1.27178,-0.5195882,-0.97450143,-1.3033606,-1.0044237,-1.3013176,1.2777297
E07000128,1.6799738,-0.799024,-0.9704129,-0.7606868,-0.4294921,-0.5708875,-0.6480983,-0.83051145,1.1958281,-0.4234055,-0.9544142,-0.7795897,-0.981303,-0.12604919,-0.91232336,-0.9177595,-0.8419332,-1.317985,1.3117589
