code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases
E07000209,-0.435339,-1.7754705,-1.8983463,-1.7412357,-1.2590613,-1.635845,-3.3928177,-1.7299299,-2.0025885,-0.62062454,-1.5118974,-1.843975,-2.3017812,-1.1753902,-2.2883787,-0.7146643,-1.9846603,-1.3780702
E07000210,-0.68775564,-1.7754705,-2.1001706,-1.6912432,-1.7378073,-0.59476864,-1.9772307,-1.4356217,-2.693175,-0.7065076,-2.2981675,-2.1512322,-2.2011213,-1.1892312,-2.3184474,-1.1264769,-2.299257,-1.3463933
E07000211,-0.91330713,-1.7754705,-1.8986961,-1.91884,-0.69340545,-1.1345898,-2.3637445,-1.5932908,-2.3208072,-0.6468628,-1.4992214,-1.5556906,-2.6086261,-1.1763065,-2.2228453,-0.7140458,-2.2944293,-1.4766939
E07000212,-0.46452698,-1.7754705,-2.0971897,-1.9140068,-1.5579311,-1.6442728,-3.31584,-1.7434756,-2.1969428,-0.7046068,-1.337488,-1.6325591,-1.9921547,-1.1910259,-2.129914,-1.0358814,-2.1101453,-1.2553289
E07000213,-0.2950137,-1.7754705,-2.0532374,-2.1727018,-1.1116222,-1.1933911,-2.4208598,-1.55289,-2.3795176,-0.6858848,-1.5004952,-0.099081144,-2.2663436,-1.1624737,-2.166357,-0.84482336,-2.0094805,-1.2700766
E07000214,-0.9165884,-1.7754705,-2.093714,-1.8582734,-1.1187335,-0.9525767,-1.9487554,-1.481429,-2.4758692,-0.55581695,-1.5762964,-1.5959153,-2.9425838,-1.1566654,-2.056081,-0.19443887,-2.3212876,-1.3307961
E07000215,-0.8481972,-1.7754705,-2.099201,-1.6936986,-1.0753658,-0.90291685,-2.3425822,-1.434925,-2.5454524,-0.6324727,-1.8294796,-2.261813,-2.5891776,-1.1758466,-2.1561635,-0.6855038,-2.295009,-1.3000954
E07000216,-1.1190463,-1.7754705,-1.9625394,-1.6957641,-0.5675776,-0.6330705,-2.344115,-1.4328855,-2.6982303,-0.66054,-2.1138403,-2.3933625,-2.0299525,-1.1659786,-2.3419197,-0.9657821,-2.175483,-1.3307961
E07000217,-0.3108814,-1.7754705,-2.0463824,-2.033007,-0.45871904,-1.1396333,-2.2703247,-1.6821824,-2.1843894,-0.62445563,-1.1256611,-1.3750372,-2.5655947,-1.1219249,-1.6014202,-0.361498,-2.0842693,-1.2407597
E07000218,0.20026332,-1.7754705,-2.191962,-1.6851404,-2.149959,-1.0068837,-2.4501572,-1.4375248,-2.3535547,-0.64289933,-2.6657388,-0.0665676,-1.9259378,-1.201715,-2.3568983,-0.9317173,-1.979457,-1.226373
